index,video_id,start_frame,end_frame,main_object_caption,background_caption,style_caption,camera_caption,short_caption,dense_caption,fps,start_timestep,end_timestep,,
000000008013_uLoWEU14wRU-000168,uLoWEU14wRU,534849,538445,"Throughout the video, the main subjects are the pedestrians who are seen walking in different directions, some crossing the street at a crosswalk, while others continue along the sidewalk. Their movements are casual and unhurried, indicative of a typical evening where people might be returning from work or heading to various destinations in the city.","Features a cityscape at night with well-lit streets, commercial buildings, and parked cars along the roadside. The presence of a pharmacy and other visible storefronts suggests a commercial district. The weather appears clear, and the time is after dusk, as indicated by the dark sky and artificial lighting.","The video has a documentary-style realism, with a focus on the natural ambiance of the city at night, utilizing ambient lighting and a steady, eye-level camera perspective to create an immersive urban experience.","The camera appears to be at pedestrian eye level, moving smoothly through the environment, capturing the street scenes from a first-person perspective. The angle of the shots changes as the camera progresses down the street, providing a panoramic view of the surroundings and focusing on different groups of pedestrians at various points.","People are walking down a city street at night, and there are cars parked on the side of the road.","The bustling atmosphere of a city street at night, with pedestrians of various ages and styles walking along the sidewalk and crossing the street. The scene is illuminated by the ambient light of street lamps, storefronts, and neon signs from businesses such as a pharmacy. The pedestrians are dressed in casual to smart casual attire, suggesting an evening where the weather is mild. The street is lined with parked cars, and the architecture of the buildings suggests a metropolitan area with commercial and possibly residential spaces.",29.97002997,4:57:26,4:59:26,,
000000007076_ok7xFFwgJRw-000004,ok7xFFwgJRw,7249,10787,"A racing car, is seen from a third-person perspective from behind, maintaining a central position in the frame throughout the video. The car accelerates along the track, navigating through turns and occasionally coming close to other racing cars, suggesting overtaking maneuvers. The car's movements are smooth and responsive, indicative of player control, as it follows the racing line and adjusts its position relative to other competitors and track boundaries.","The background consists of a well-maintained racetrack environment with realistic elements such as grandstands filled with spectators, trackside advertisements, and lush greenery surrounding the circuit. The weather appears to be clear with a bright blue sky, providing optimal racing conditions. The time seems to be during the day, with the sun casting shadows on the track, enhancing the realism of the virtual setting.","The visual, photographic, and artistic style of the video is realistic and immersive, with a focus on high-fidelity graphics and dynamic lighting that enhances the sense of speed and competition in the virtual racing experience.","The camera maintains a consistent third-person view from behind the car, keeping the vehicle in the center of the frame. The camera angle is steady, with slight adjustments to follow the car's movements and turns. There are no drastic changes in shooting angles, ensuring a stable and clear view of the action for the viewer.",A racing car driving down a track in a video game.,"A high-speed race from a third-person perspective following a single racing car on a detailed, realistic racetrack. The car, adorned with vibrant livery, navigates through various turns and straights, overtaking competitors and maneuvering with precision. The graphics are high-quality, rendering the environment with a level of detail that closely mimics real-world racing conditions. The sense of speed and competition is palpable as the player's car weaves through the field, aiming for the lead position.",29.97,0:04:02,0:06:00,,
000000008028_JZtQdvybavc-000019,JZtQdvybavc,67572,71168,"The pedestrians and vehicles moving through the cityscape. The pedestrians exhibit a range of actions, from walking and conversing to pausing and observing their surroundings. Their positions and movements vary, with some close to the camera and others further away, contributing to a sense of depth and activity. Vehicles progress along the street, intermittently stopping and starting in response to traffic signals and the flow of people.","A city street lined with towering buildings adorned with bright, animated advertisements and neon signage. The weather appears to be overcast or post-rain, as the pavement reflects the lights above, enhancing the visual spectacle. The time is nighttime, evident from the artificial lighting and the active nightlife, suggesting a late hour when the city's entertainment and commercial areas are most alive.","The visual, photographic, and artistic style of the video is characterized by a vivid, high-contrast portrayal of urban nightlife, with a focus on the interplay of light and movement.","The view shot and camera movement throughout the video frames suggest a smooth, continuous motion that captures the essence of the city's rhythm. The camera angle shifts subtly to follow the flow of people and traffic, providing a panoramic perspective of the urban environment. There are no abrupt changes in shooting angles, which maintains a cohesive and immersive viewing experience.",It is a busy city street at night with many people walking on the sidewalk and cars driving by.,"The vibrant atmosphere of a bustling city street at night, where the glow of neon signs and digital billboards illuminates the scene with a kaleidoscope of colors. Pedestrians of various ages and styles navigate the sidewalks, some briskly moving with purpose, while others stroll leisurely, taking in the sights. Vehicles, including cars and iconic yellow taxis, traverse the wet streets, reflecting the city lights in a dazzling display. The urban landscape is alive with the energy of nightlife, as people and traffic coexist in this dynamic environment.",29.97002997,0:37:35,0:39:35,,
000000008001_DzWUXJ4I0r4-000081,DzWUXJ4I0r4,146881,150477,"The pedestrians and vehicles navigating the city street. The pedestrians are seen walking, some alone and others in groups, engaging in conversations or focused on their destinations. Vehicles, including cars and buses, move in a steady flow, occasionally stopping and starting with the rhythm of the traffic lights. Throughout the video, the movement of these subjects is continuous, reflecting the constant motion of city life.","A city street lined with tall commercial buildings, some with scaffolding, indicating ongoing construction or maintenance. The weather appears to be clear, and the time is set during the evening as the sky transitions from the remnants of daylight to the darker hues of night. Outdoor seating areas, planters, and bicycles parked along the sidewalk add to the urban environment.","The visual, photographic, and artistic style of the video is naturalistic and immersive, with a focus on capturing the authentic essence of city life during the evening hours.","The camera movement in the video is smooth, suggesting a steady handheld or gimbal-assisted capture. The shooting angles vary, with some shots taken at street level, providing a pedestrian's perspective, while others are slightly elevated, offering a broader view of the street and its surroundings. The camera pans gently to follow the movement of the subjects, maintaining a consistent pace throughout the sequence.",It is a busy city street at night with tall buildings on either side of the street and people walking on the sidewalk.,"The dynamic atmosphere of a bustling city street at dusk, transitioning into night. The scene is set against a backdrop of towering buildings with illuminated windows and vibrant street-level signage. Pedestrians of various attire move along the sidewalks, some briskly commuting while others seem to be leisurely strolling. The street is alive with the glow of street lamps and the headlights of cars, buses, and taxis, creating a symphony of urban life as the evening progresses.",29.97002997,1:21:41,1:23:41,,
000000008566_ol7OupLmFBU-000016,ol7OupLmFBU,30596,33473,"The street itself, lined with trees and parked cars. There are no significant actions or movements of subjects within the frames, as the focus remains on the steady progression down the street. The camera's movement is consistent, maintaining a forward path along the sidewalk, providing a continuous perspective of the street as it unfolds.","The background consists of a suburban residential area with well-spaced houses set back from the street, visible through the trees. The weather is clear, with no signs of precipitation, and the lighting suggests a clear day. The time appears to be either morning or late afternoon, given the quality of the light and the long shadows cast by the trees.","The video showcases a naturalistic and documentary-style visual aesthetic, capturing the everyday beauty of a suburban street with a steady, unobtrusive camera movement and soft, natural lighting.","The camera maintains a forward-moving shot throughout the sequence of video frames, with no significant changes in angle or perspective. It appears to be a smooth tracking shot, likely filmed using a stabilizing device to keep the motion steady. The viewpoint is from the perspective of a pedestrian walking down the sidewalk, providing a consistent and immersive experience of the street.",A street lined with trees and cars parked on the side of the road.,"A serene suburban street flanked by rows of deciduous trees, their branches mostly bare, suggesting a scene set in late autumn or early winter. The sunlight casts a warm glow on the scene, indicating either early morning or late afternoon light. Cars are intermittently parked along the curbside, and the street appears to be quiet, with no visible pedestrians or moving traffic. The camera moves forward down the sidewalk, offering a steady view of the tranquil neighborhood, with residential houses visible in the distance beyond the trees. The ground is littered with fallen leaves, adding to the seasonal ambiance of the setting.",23.97602398,0:21:16,0:23:16,,
000000008013_uLoWEU14wRU-000088,uLoWEU14wRU,308545,312141,"Throughout the video, the main subjects are the pedestrians who navigate the sidewalk. They exhibit a range of actions from walking briskly to strolling leisurely, some carrying shopping bags, others with hands in pockets. Their positions change as they move in and out of the frame, with some crossing the street, entering or exiting buildings, or pausing to look at something off-camera. The flow of people creates a dynamic and ever-changing scene.","Features a city street at night, characterized by well-lit sidewalks, lined with trees and planters, and buildings with illuminated windows. Outdoor dining areas with patrons enjoying their meals contribute to the urban atmosphere. The weather appears clear, and the time is nighttime, as indicated by the artificial lighting and dark sky.","The video showcases a cinematic and realistic portrayal of city life at night, with a focus on natural lighting and the candid movement of people within an urban environment.","The camera moves smoothly along the sidewalk, maintaining a consistent pace with the flow of pedestrians. It captures various angles, from wide shots that encompass the breadth of the street and its activities to closer shots that focus on the people and storefronts. The camera's movement is steady, providing a continuous and immersive perspective of the city street.",A city street at night with people walking down the sidewalk and people walking down the sidewalk.,"The vibrant atmosphere of a bustling city street at night. The scene is illuminated by the warm glow of streetlights and the inviting ambiance of storefronts and outdoor dining areas. Pedestrians of various ages and styles are seen walking down the sidewalk, some in groups, others alone, engaged in conversation or simply going about their evening. The architecture suggests a mix of modern and historic buildings, with visible signage indicating restaurants and other businesses. The overall mood is lively and urban, with the night lending a certain charm to the cityscape.",29.97002997,2:51:35,2:53:35,,
000000008747_guosbSnLLn0-000023,guosbSnLLn0,77032,80628,"The main subjects in the video are the beachgoers and the natural landscape. The people are scattered, engaging in typical beach activities such as walking and playing near the water. Their movements are leisurely, suggesting a relaxed atmosphere. The rock formations are stationary, but their imposing presence adds a dynamic contrast to the soft lines of the shoreline.","The background consists of the rock formations that are weathered and covered with vegetation, suggesting they have been shaped by the elements over time. The beach itself is wide with a mixture of dry and wet sand, indicating tidal patterns. The weather is fair, with a mix of sun and clouds, and the time appears to be midday given the quality of the light.","The visual, photographic, and artistic style of the video is naturalistic and bright, with a focus on the vivid colors and textures of the beach landscape under a clear, daylight setting.","The camera movement is subtle, maintaining a steady viewpoint throughout the sequence of frames. The angle shifts slightly, providing different perspectives of the beach and rock formations, but the overall framing remains consistent, focusing on capturing the tranquility of the beach environment.",A sandy beach with a rock formation in the background.,"A serene beach scene with unique rock formations. The sandy shore is expansive, with patches of wet sand indicating recent tide activity. The sky is partly cloudy, allowing for bright sunlight to illuminate the scene, casting soft shadows from the rocks. Throughout the video, a few individuals can be seen enjoying the beach, some walking along the shore, while others are further out near the water, possibly wading or swimming.",29.97,0:42:50,0:44:50,,
000000009007_x6MnwqhNxZ4-000033,x6MnwqhNxZ4,32514,36110,"Throughout the video, the main subjects are the pedestrians who are walking down the street. They are engaged in various activities such as talking, carrying shopping bags, and observing the window displays. Their movement is casual and unhurried, suggesting a leisurely evening stroll. The red car, while stationary, serves as a focal point in one of the frames, drawing the viewer's attention to its unique presence amidst the urban setting.","A city street at night, characterized by well-lit buildings, a mix of modern and historical architecture, and an array of colorful advertisements and neon signs. The weather appears to be clear, and the reflections on the pavement suggest it might have rained earlier, adding a reflective quality to the surfaces. The time is clearly nighttime, as indicated by the dark sky and artificial lighting.","The video's visual style is cinematic and vibrant, with a focus on the interplay of light and color that brings the city's nocturnal energy to life.","The camera captures the scenes from various angles, including eye-level shots that follow the pedestrians, a low-angle view that emphasizes the red car and the reflections on the wet ground, and wider shots that showcase the grandeur of the city's architecture and the density of the crowd. The camera movement appears smooth, panning across the scenes to follow the flow of the people and the rhythm of the city.","People are walking down a city street at night, and there is a red car parked on the street.","The vibrant nightlife of a bustling city street. Pedestrians of various ages and styles are seen walking down the sidewalk, some in casual attire, others more formally dressed, indicating the diverse nature of the city's inhabitants and visitors. The street is lined with illuminated storefronts, showcasing the commercial and fashionable character of the area. A vintage red car with racing decals is prominently displayed in one of the frames, adding a touch of nostalgia and contrasting with the modern surroundings. The city's architecture, a mix of contemporary and classic design, is highlighted by the bright neon and LED lights that adorn the buildings and signage, creating a dynamic and visually stimulating environment.",29.97002997,0:18:05,0:20:05,,
000000008742_BTu3ZO1TbYo-000019,BTu3ZO1TbYo,68324,71920,"The main subjects in the video are the city environment and the people within it. Pedestrians are seen walking along the sidewalks, some alone and others in groups, engaged in various activities such as commuting or casual strolling. Vehicles, including cars and a white van, move through the streets, stopping at traffic lights or navigating through the urban terrain. The video captures the flow of city life, with the movement of people and traffic against the backdrop of the urban night.","A city at night, characterized by tall buildings, streetlights, and the ambient glow of urban lighting. The weather appears clear, and the time is evidently after sunset, with darkness enveloping the city. The locations vary from busy intersections and commercial areas with shops and advertisements to quieter, tree-lined streets with less foot traffic. The city's infrastructure, including roads, sidewalks, and bike lanes, is also visible, contributing to the overall urban atmosphere.","The visual, photographic, and artistic style of the video is characterized by a realistic and immersive portrayal of the city at night, with a focus on natural lighting and the contrast between illuminated areas and shadows.","The view shot and camera movement in the video are dynamic, with a mix of steady shots and gentle pans that follow the movement of people and vehicles. The shooting angles vary, providing both street-level perspectives that put the viewer in the midst of the city's activity, and wider shots that offer a broader view of the urban environment. The camera transitions smoothly between these angles, maintaining a continuous and engaging visual narrative.",It is night time in a city with tall buildings and streetlights illuminating the sidewalk.,"The essence of a bustling city at night, showcasing the vibrant life and urban landscape after dark. The scenes transition from pedestrian sidewalks bustling with people to the quietude of less crowded areas, illuminated by the glow of streetlights and the occasional passing vehicle. The city's architecture, ranging from modern glass facades to more traditional structures, is highlighted by the nighttime lighting, creating a contrast between the city's energy and its serene moments. The camera's movement provides a fluid journey through the city's streets, capturing the dynamic interplay of light and shadow.",29.97,0:38:00,0:40:00,,
000000008701_RFeTP80tjm0-000066,RFeTP80tjm0,48920,52059," walking, talking, gesturing, and recording the event with their phones. Their positions shift from frame to frame, indicating movement through the street. The crowd's density fluctuates slightly, but overall, it remains packed, with individuals navigating the space as they progress.","A city street at night, characterized by bright commercial signage, illuminated billboards, and street lights. The urban environment is a mix of modern architecture and busy roadways, with vehicles and pedestrian areas. The weather appears clear, and the time is nighttime, as evidenced by the artificial lighting and dark sky.","The visual, photographic, and artistic style of the video is a candid, documentary-like capture of urban nightlife, with a focus on the organic movement and interactions of a large crowd in a city setting.","The view shot and camera movement throughout the video frames suggest a handheld or steady-cam style, with the camera moving through the crowd at ground level. The shooting angles vary slightly, capturing the crowd from different perspectives, but generally maintain a focus on the people and their immediate surroundings. There is no drastic change in angles, indicating a consistent point of view as the camera navigates the scene.",There is a large crowd of people gathered in a city street at night.,"A bustling city street at night, teeming with a dense crowd of people. The atmosphere is lively and vibrant, with individuals of various ages and attire moving through the scene. Some are engaged in conversation, others are using their phones, and a few are looking around, taking in the sights. The street is well-lit by the surrounding city lights, and the crowd moves in a fluid, albeit congested, manner through the urban landscape.",29.97,0:27:12,0:28:57,,
